id	surface	niqqud	stratum	depth	draft_proclitics	stem	posDicta	offline_agrees	needs_r1	R1_VERDICT	R1_NOTES	context
286	והפורענות	וְהַפֻּרְעָנוּת	content	0	(unclear)	פרענות	noun	N	YES	וה	ו + visible article ה	המסוכן שבגלות אינו ריבוי הרדיפות והצרות, אלא מיעוט הסבל והפורענות.
287	והפירות	וְהַפֵּרוֹת	content	0	(unclear)	פרות	noun	N	YES	וה	ו + visible article ה	גבעולו נבוב ודק ואין ביכלתו לעמד זקוף ולשאת את העלים, הפרחים והפירות.
288	וחוסר	וְחֹסֶר	content	0	(unclear)	חסר	noun	N	YES	ו	ו + חוסר	תעשיה בקיבוץ וחוסר עובדים
289	ולכיבוש	וּלְכִבּוּשׁ	content	0	(unclear)	כבוש	noun	N	YES	ול	ו + ל + כיבוש	עבודה ולכיבוש עצמנו לעבודה, להקמת משק מגוון ומפותח, לטיפוח חברה
290	ושתותך	וְשֶׁתֻּתַּךְ	content	0	(unclear)	תתך	verb	N	YES	וש	ו + ש complementizer	ושתותך כל הזעמים,
291	כיפת	כִּפַּת	content	0	(unclear)	כפת	noun	N	YES	-	כיפת is whole construct noun; כ is root	כיפת עננים נגוהה כלשהו במרכזה.
292	כישלון	כִּשָּׁלוֹן	content	0	(unclear)	כשלון	noun	N	YES	-	כישלון is whole noun; כ is root	דבר אחד ברור לחלוטין: דרך כשרה, שסופה כישלון, פסולה היא; דרך "פסולה", שסופה נצחון – כשרה ל
293	כרותראש	כְּרֻתְרָאשׁ	content	0	(unclear)	רתראש	adjective	N	YES	-	כרות־ראש: כ is root of כרות, not comparative כ	בשיח יש זלזל כרותראש ודומע:
294	לאומית	לְאֻמִּית	content	0	(unclear)	לאמית	adjective	N	YES	-	לאומית is whole adjective; ל is root/lexical	דווקא שעה קשה זו, שאין לדעת כמה תימשך, ואם לא תהיה בעתיד עוד יותר קשה ­– דווקא שעה קשה זו 
295	לבינים	לְבֵנִים	content	0	(unclear)	לבנים	noun	N	YES	-	לבינים is whole noun “bricks”; ל is root	קטנים ותפוחים גדולים, אל גדר לבינים לא טוחה, היתה נשענת מלונה של קרשים
296	לביצה	לְבִצָּה	content	0	(unclear)	בצה	noun	N	YES	ל	ל + ביצה	בדרום העמק נכנסים הנחלים לביצה המשתרעת על שטח של אלפי דונמים ותופשת
297	לגידול	לְגִדּוּל	content	0	(unclear)	גדול	noun	N	YES	ל	ל + גידול	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
298	להיאבקות	לְהֵאָבְקוּת	content	0	(unclear)	האבקות	noun	N	YES	ל	ל + היאבקות; inner ה belongs to stem	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
299	להיחלצות	לְהֵחָלְצוּת	content	0	(unclear)	החלצות	noun	N	YES	ל	ל + היחלצות; inner ה belongs to stem	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
300	לוקטו	לֻקְּטוּ	content	0	(unclear)	לקטו	verb	N	YES	-	לוקטו is passive verb; ל is root/verb morphology	המכתבים לוקטו מתוך עשרות העתקי מכתבים שנשמרו בתיקיו –
301	לחינוך	לְחִנּוּךְ	content	0	(unclear)	חנוך	noun	N	YES	ל	ל + חינוך	שויון זכויות לחינוך בנוער
302	לחשוב	לַחֲשֹׁב	content	0	(unclear)	לחשב	verb	N	YES	ל	infinitival ל + חשב/חשוב	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
303	לחשוש	לַחֲשֹׁשׁ	content	0	(unclear)	לחשש	verb	N	YES	ל	infinitival ל + חשש	להורים לא היה כל יסוד לחשוש לעתידה של בתם הקטנה.
304	לטיפוח	לְטִפּוּחַ	content	0	(unclear)	טפוח	noun	N	YES	ל	ל + טיפוח	עבודה ולכיבוש עצמנו לעבודה, להקמת משק מגוון ומפותח, לטיפוח חברה
305	לטעון	לִטְעֹן	content	0	(unclear)	לטען	verb	N	YES	ל	infinitival ל + טען	בחמה עת יבריכוהו לטעון משא על גבו.
306	לכיבוש	לַכִּבּוּשׁ	content	0	(unclear)	כבוש	noun	N	YES	לה	ל+ה+כיבוש; fused article indicated by לַ + dagesh	25 שנות עמל ויצירה – מחצית יובל למאמצי אנוש: לכיבוש
307	למסור	לִמְסֹר	content	0	(unclear)	למסר	verb	N	YES	ל	infinitival ל + מסר/מסור	דבר זה אינך צריך כמובן למסור ל– – –.
308	לנקום	לִנְקֹם	content	0	(unclear)	לנקם	verb	N	YES	ל	infinitival ל + נקם	ב. באשר לשיתוף פעולה, הרי אם מעשה ברח' דיזנגוף (שאותו הם מתכוננים לנקום) או מעשה עטלית (שע
309	לנשור	לִנְשֹׁר	content	0	(unclear)	לנשר	verb	N	YES	ל	infinitival ל + נשר	מדאי, ואז צפויים פרחיו לסכנה – לנשור לנשיבתרוח קלה.
310	לעבור	לַעֲבֹר	content	0	(unclear)	לעבר	verb	N	YES	ל	infinitival ל + עבר	עלינו לקבל את היזמה לידינו, עלינו לעבור להתקפה נמרצת ומקיפה.
311	לשאוף	לִשְׁאֹף	content	0	(unclear)	לשאף	verb	N	YES	ל	infinitival ל + שאף	יצא העלם לשאוף אויר צח, נאמר, לשער דמשק וצפונה.
312	לשולחן	לַשֻּׁלְחָן	content	0	(unclear)	שלחן	noun	N	YES	לה	ל+ה+שולחן; fused article indicated by לַ + dagesh	נשאתי פני מן הספר שקראתי וראיתי: ממולי, מעבר לשולחן
313	לשיתוף	לְשִׁתּוּף	content	0	(unclear)	שתוף	noun	N	YES	ל	ל + שיתוף	ב. באשר לשיתוף פעולה, הרי אם מעשה ברח' דיזנגוף (שאותו הם מתכוננים לנקום) או מעשה עטלית (שע
314	לשמוע	לִשְׁמֹעַ	content	0	(unclear)	לשמע	verb	N	YES	ל	infinitival ל + שמע	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
315	לשמור	לִשְׁמֹר	content	0	(unclear)	לשמר	verb	N	YES	ל	infinitival ל + שמר	ברצוננו לשמור על רמתהחיים של שנת 1947 בכוחנו אנו, בכוח היצירה שלנו,
316	מאורעות	מְאֹרָעוֹת	content	0	(unclear)	מארעות	noun	N	YES	-	מ is derivational/lexical morphology, not preposition מן	מערכות הגורל, שפקדו את ארצנו ועם ישראל מימי ה'מאורעות', מלחמת העולם,
317	מובהקים	מֻבְהָקִים	content	0	(unclear)	מבהקים	adjective	N	YES	-	מ is derivational/lexical morphology, not preposition מן	מובהקים ובכלל האומה כלה, שהנה עכשו דוגמת ספינה המטורפת בים שזקוקה
318	מוחלט	מֻחְלָט	content	0	(unclear)	מחלט	adjective	N	YES	-	מ is derivational/lexical morphology, not preposition מן	חטא גדול הוא להאמין ברע מוחלט, ביסוד רע מוחלט, יסוד קיים בעד עצמו.
319	מוטלת	מֻטֶּלֶת	content	0	(unclear)	מטלת	verb	N	YES	-	מ is derivational/lexical morphology, not preposition מן	המלונה, על הקרקע, משטח של קש וגבבא, ועליו היתה מוטלת בפישוט ידיים
320	מומחים	מֻמְחִים	content	0	(unclear)	ממחים	noun	N	YES	-	מ is derivational/lexical morphology, not preposition מן	לארצנו מומחים איש איש למקצועו, במקום פטפוטים נתחיל במעשים; עם
321	מושג	מֻשָּׂג	content	0	(unclear)	משג	noun	N	YES	-	מ is derivational/lexical morphology, not preposition מן	סופרי החסידים מבחינים בכל עצם או מושג בין פנימיותו
322	מידבקים	מִדַּבְּקִים	content	0	(unclear)	מדבקים	adjective	N	YES	-	מ is derivational/lexical morphology, not preposition מן	ולשליש, וזבובים מזמזמים מרפרפים על גביהם, מידבקים בהם רגע ומתנשאים שוב.
323	מיוחד	מְיֻחָד	content	0	(unclear)	מיחד	adjective	N	YES	-	מ is derivational/lexical morphology, not preposition מן	וכחיל מיוחד בתוך הצבא, הולך ומתארגן הנח"ל, שמלבד הכשרתו לכוננות קרבית
324	מיעוט	מִעוּט	content	0	(unclear)	מעוט	noun	N	YES	-	מ is derivational/lexical morphology, not preposition מן	מקור הרעה איננו בזה שאנו מיעוט בכל, אלא בזה שאנו משועבדים.
325	מסויים	מְסֻיָּם	content	0	(unclear)	מסים	adjective	N	YES	-	מ is derivational/lexical morphology, not preposition מן	שהשירה את שערותיה, בעיקר כאילו לשם סולידריות עם המתקרבים לגיל מסויים,
326	מעוקלים	מְעֻקָּלִים	content	0	(unclear)	מעקלים	adjective	N	YES	-	מ is derivational/lexical morphology, not preposition מן	בצלע הגן, תחת תפוחה מסובלת ענפים מעוקלים, נושאי עלים
327	משועבדים	מְשֻׁעְבָּדִים	content	0	(unclear)	משעבדים	verb	N	YES	-	מ is derivational/lexical morphology, not preposition מן	מקור הרעה איננו בזה שאנו מיעוט בכל, אלא בזה שאנו משועבדים.
328	מתולל	מְתֻלָּל	content	0	(unclear)	מתלל	verb	N	YES	-	מ is derivational/lexical morphology, not preposition מן	אך שערו רחוץ ומסורק כראוי, מתולל משהו מעל למצח, גם פניו
329	שבליהזהר	שֶׁבְּלִהְזַהֵר	content	0	(unclear)	שבלהזהר	verb	N	YES	ש	ש + בלי־הזהר; only outer ש is live, inner בלי is lexicalized	ברעדתם אקצר כל שבליהזהר,
330	שחור	שָׁחֹר	content	0	(unclear)	שחר	adjective	N	YES	-	שחור is whole adjective; ש is root	הכחולה המתנפחים ברוח רבב שמן גדול. מידיו האוחזות בהגה ניכר שחור
331	שירתי	שֵׁרַתִּי	content	0	(unclear)	שרתי	verb	N	YES	-	שירתי is whole word/verb or noun with suffix; ש is root	שקר היו כל דברי שירתי,
332	שיתופית	שִׁתּוּפִית	content	0	(unclear)	שתופית	adjective	N	YES	-	שיתופית is whole adjective; ש is root	שיתופית, לגידול דור שני, להיאבקות רעיונית בתנועה, להיחלצות ולעמידה בכל
